"Z"	"X"	"Y"
"261"	5	4	4
"262"	5	3	5
"263"	4	5	4
"264"	4	5	4
"265"	5	4	4
"266"	5	2	4
"267"	4	3	3
"268"	5	4	4
"269"	5	3	2
"270"	3	4	4
"271"	4	5	4
"272"	4	4	4
"273"	4	4	5
"274"	3	3	3
"275"	3	3	3
"276"	6	4	3
"277"	3	6	4
"278"	4	2	3
"279"	4	3	4
"280"	4	3	4
"281"	6	5	4
"282"	4	5	3
"283"	4	6	5
"284"	5	5	5
"285"	6	5	4
"286"	5	6	7
"287"	5	3	4
"288"	4	4	3
"289"	3	5	5
"290"	4	4	4
"291"	3	2	4
"292"	3	5	5
"293"	4	5	6
"294"	5	2	2
"295"	5	5	4
"296"	4	4	5
"297"	5	4	4
"298"	4	4	5
"299"	4	5	4
"300"	4	4	3
"301"	5	3	5
"302"	1	5	3
"303"	3	4	4
"304"	4	4	3
"305"	5	4	4
"306"	3	4	5
"307"	3	4	5
"308"	3	3	3
"309"	5	5	4
"310"	4	4	3
"311"	4	4	5
"312"	3	5	4
"313"	2	4	4
"314"	5	5	3
"315"	4	4	4
"316"	5	5	3
"317"	6	5	3
"318"	5	5	5
"319"	5	3	5
"320"	3	4	3
"321"	5	4	5
"322"	6	7	5
"323"	4	3	5
"324"	3	4	3
"325"	2	4	4
"326"	4	5	4
"327"	3	4	2
"328"	4	4	4
"329"	4	4	3
"330"	5	3	4
"331"	4	4	4
"332"	4	4	4
"333"	4	3	5
"334"	5	3	4
"335"	6	4	5
"336"	3	5	4
"337"	4	5	5
"338"	2	4	4
"339"	6	4	5
"340"	4	3	3
"341"	4	4	6
"342"	2	4	4
"343"	4	2	2
"344"	5	5	4
"345"	5	4	2
"346"	3	3	3
"347"	4	3	3
"348"	4	5	4
"349"	3	4	3
"350"	3	4	3
"351"	5	4	5
"352"	6	4	4
"353"	5	4	4
"354"	5	6	3
"355"	6	4	5
"356"	3	3	4
"357"	5	3	4
"358"	4	1	4
"359"	4	4	3
"360"	4	4	5
"361"	4	4	5
"362"	4	5	5
"363"	4	4	5
"364"	5	4	4
"365"	5	5	5
"366"	4	4	5
"367"	4	5	3
"368"	4	5	4
"369"	4	4	4
"370"	4	4	6
"371"	4	5	5
"372"	4	4	5
"373"	3	3	3
"374"	5	4	4
"375"	6	4	5
"376"	4	3	3
"377"	4	3	4
"378"	5	5	5
"379"	6	3	3
"380"	4	3	4
"381"	4	5	4
"382"	2	3	4
"383"	4	5	4
"384"	6	5	6
"385"	4	2	3
"386"	4	4	3
"387"	3	5	4
"388"	6	4	4
"389"	4	4	3
"390"	4	4	4
"391"	5	5	6
"392"	6	3	4
"393"	3	3	4
"394"	5	4	4
"395"	4	4	4
"396"	4	5	4
"397"	4	3	2
"398"	5	4	4
"399"	4	3	4
"400"	5	4	5
