"X"	"Y"	"Z"
"107"	122	109	3.5
"108"	116	116	2.5
"109"	126	121	4
"110"	120	119	1.5
"111"	113	113	4
"112"	104	120	3.5
"113"	111	106	3.5
"114"	119	111	3.5
"115"	120	119	3
"116"	106	117	1.5
"117"	123	113	2
"118"	117	118	3
"119"	115	119	4.5
"120"	115	108	2.5
"121"	119	117	3
"122"	117	121	4
"123"	119	120	4
"124"	105	103	4
"125"	115	118	4
"126"	118	116	5
"127"	117	117	4.5
"128"	113	113	5.5
"129"	118	119	4
"130"	110	116	1
"131"	115	113	4.5
"132"	121	117	4.5
"133"	116	117	4.5
"134"	109	107	4
"135"	119	119	3
"136"	105	105	2.5
"137"	117	115	6
"138"	111	108	3
"139"	115	113	4
"140"	118	111	2
"141"	118	114	2
"142"	105	109	4
"143"	100	112	3
"144"	115	111	4
"145"	115	110	2
"146"	110	111	4
"147"	119	110	2.5
"148"	121	112	5
"149"	121	116	3.5
"150"	114	119	2.5
"151"	110	118	3.5
"152"	115	114	4
"153"	113	110	3
"154"	117	112	2.5
"155"	118	115	3
"156"	127	129	2
"157"	115	116	5
"158"	119	112	3
"159"	117	117	3
"160"	117	118	4
"161"	112	109	5
"162"	111	122	3
"163"	125	121	4
"164"	116	116	4
"165"	111	121	2
"166"	120	119	3.5
"167"	108	113	4
"168"	115	118	4.5
"169"	121	126	3.5
"170"	113	117	2
"171"	113	120	1.5
"172"	115	119	3
"173"	107	111	5
"174"	115	118	3
"175"	118	113	3
"176"	126	125	1.5
"177"	109	112	4.5
"178"	118	115	2.5
"179"	111	112	3
"180"	115	112	3
"181"	118	115	4
"182"	111	124	5
"183"	124	119	4
"184"	111	108	4
"185"	123	113	2
"186"	114	111	3
"187"	107	113	6.5
"188"	117	116	4.5
"189"	112	118	5
"190"	113	105	3
"191"	115	119	3.5
"192"	124	120	6
"193"	109	113	5
"194"	125	117	3
"195"	120	121	4
"196"	113	114	4.5
"197"	116	116	4
"198"	106	112	3.5
"199"	122	121	2.5
"200"	113	118	4.5
"201"	113	119	2.5
"202"	106	118	1.5
"203"	106	109	2
"204"	115	118	5
"205"	130	113	3.5
"206"	122	119	3
"207"	124	113	2
"208"	127	126	5
"209"	118	123	6
"210"	111	111	4
"211"	113	110	3.5
"212"	106	105	4.5
"213"	115	113	2
"214"	105	110	2.5
"215"	115	115	2
"216"	110	112	3.5
"217"	115	117	5
"218"	121	116	2
"219"	114	114	3
"220"	117	117	3
"221"	116	119	4
"222"	115	112	2.5
"223"	124	119	5.5
"224"	116	116	3.5
"225"	121	113	2
"226"	109	113	5
"227"	114	117	2.5
"228"	113	117	5
"229"	114	113	3
"230"	109	117	5
"231"	110	110	5
"232"	111	118	4.5
"233"	124	119	2.5
"234"	113	117	3.5
"235"	108	112	4.5
"236"	115	123	3.5
"237"	109	119	2.5
"238"	114	113	5.5
"239"	111	111	4
"240"	110	114	3.5
"241"	108	112	3.5
"242"	112	107	3.5
"243"	122	127	3
"244"	114	117	3.5
"245"	118	122	2.5
"246"	118	115	4.5
"247"	112	107	4
"248"	125	120	2.5
"249"	117	118	2.5
"250"	116	115	3
"251"	119	110	5.5
"252"	104	116	5.5
"253"	111	107	3.5
"254"	110	109	3.5
"255"	118	117	3.5
"256"	109	114	4.5
"257"	120	117	3
"258"	128	126	4.5
"259"	115	112	3
"260"	124	119	3.5
"261"	127	127	4
"262"	109	113	3.5
"263"	106	109	1
"264"	115	110	1
"265"	104	113	4.5
"266"	117	118	2.5
"267"	106	117	3.5
"268"	116	114	3
"269"	107	115	2.5
"270"	114	116	4.5
"271"	114	110	3.5
"272"	114	110	3
"273"	112	115	7
"274"	109	115	3.5
"275"	108	114	4.5
"276"	117	105	3
"277"	117	115	2.5
"278"	112	114	3.5
"279"	112	116	3
"280"	106	113	4
"281"	113	120	2.5
"282"	114	114	3
"283"	113	117	5.5
"284"	119	125	5.5
"285"	122	106	1.5
"286"	119	110	4.5
"287"	124	121	4.5
"288"	114	118	4.5
"289"	115	128	2.5
"290"	107	114	2.5
"291"	118	117	5.5
"292"	115	108	4.5
"293"	113	120	3.5
"294"	118	116	4.5
"295"	122	120	3.5
"296"	119	125	1.5
"297"	107	108	5
"298"	116	115	3.5
"299"	115	117	3
"300"	116	116	2.5
"301"	113	114	4
"302"	114	112	3
"303"	115	112	4.5
"304"	129	111	2
"305"	119	118	4
"306"	113	115	5.5
"307"	115	119	4.5
"308"	124	109	2
"309"	116	111	4
"310"	106	110	3.5
"311"	117	124	4
"312"	114	106	3.5
"313"	108	111	2.5
"314"	102	112	4
"315"	115	112	4
"316"	112	125	4.5
"317"	114	119	5
"318"	117	113	3
"319"	121	116	2.5
"320"	109	111	4.5
"321"	108	117	4
"322"	116	118	3
"323"	114	114	2.5
"324"	114	116	4
"325"	107	122	4
"326"	115	110	3.5
"327"	105	114	3
"328"	129	121	4.5
"329"	113	106	4.5
"330"	113	115	2.5
"331"	126	123	5
"332"	114	113	3.5
"333"	125	114	2.5
"334"	115	114	4.5
"335"	113	115	2.5
"336"	115	111	4
"337"	110	118	3.5
"338"	113	113	4
"339"	129	119	3
"340"	112	112	2.5
"341"	112	109	2.5
"342"	113	108	3
"343"	110	110	2
"344"	115	111	3
"345"	110	104	3
"346"	113	113	3
"347"	120	126	2.5
"348"	112	111	2
"349"	114	116	2.5
"350"	120	113	3
"351"	114	113	3.5
"352"	114	110	3.5
"353"	103	111	4
"354"	120	119	3
"355"	116	113	3
"356"	117	118	3.5
"357"	115	114	3.5
"358"	112	113	5
"359"	115	116	2
"360"	112	120	2.5
"361"	112	105	4
"362"	117	117	4.5
"363"	122	115	2.5
"364"	111	107	3.5
"365"	118	115	3
"366"	113	120	5
"367"	111	108	3
"368"	114	123	5.5
"369"	118	108	3.5
"370"	119	120	4
"371"	114	119	3
"372"	114	124	3
"373"	110	115	3.5
"374"	120	110	2
"375"	130	116	1
"376"	118	113	4.5
"377"	109	111	3
"378"	115	110	4
"379"	114	116	2
"380"	111	119	3
"381"	118	119	5.5
"382"	121	119	3
"383"	110	106	4.5
"384"	120	114	3.5
"385"	118	113	3.5
"386"	112	118	5
"387"	116	118	3
"388"	115	112	3.5
"389"	111	110	4.5
"390"	111	113	5
"391"	120	117	4
"392"	115	124	3.5
"393"	113	102	4
"394"	116	116	4.5
"395"	119	116	3
"396"	113	116	3
"397"	115	118	3.5
"398"	107	109	3.5
"399"	106	110	4.5
"400"	117	122	1.5
"1100"	127	123	5.5
"2100"	109	114	5.5
"3100"	120	124	3.5
"410"	116	114	4.5
"510"	116	119	6
"610"	122	116	3.5
"710"	111	110	4
"810"	115	117	4
"910"	119	117	5.5
"1010"	110	121	3.5
"1110"	112	114	2.5
"1210"	111	119	3
"1310"	111	121	2.5
"1410"	114	118	3
"1510"	118	113	4
"1610"	115	119	4
"1710"	117	113	3.5
"1810"	109	113	4.5
"1910"	117	121	3.5
"2010"	119	118	5
"2110"	104	107	3
"2210"	123	108	3
"2310"	117	119	2.5
"2410"	109	106	2
"2510"	122	119	4
"2610"	103	112	4
"2710"	116	115	4.5
"2810"	113	108	3
"2910"	120	109	4
"3010"	116	118	3.5
"3110"	113	121	3.5
"3210"	107	115	4.5
"3310"	118	123	2
"3410"	119	121	3
"3510"	120	120	3
"3610"	114	117	4
"3710"	121	121	3
"3810"	111	112	2.5
"3910"	125	120	2.5
"401"	122	111	4.5
"411"	111	118	5
"421"	116	119	3.5
"431"	117	109	4.5
"441"	118	125	4
"451"	118	118	3
"461"	121	124	5.5
"471"	108	106	3
"481"	113	114	4.5
"491"	108	111	4
"501"	113	118	3
"511"	116	115	3.5
"521"	115	114	3
"531"	128	112	3.5
"541"	118	112	5.5
"551"	111	114	3
"561"	105	107	3.5
"571"	114	113	1.5
"581"	112	113	4
"591"	118	110	3.5
"601"	113	117	3.5
"611"	113	112	3.5
"621"	113	122	5
"631"	113	114	5
"641"	114	107	4.5
"651"	109	116	3.5
"661"	115	100	1.5
"671"	107	107	3.5
"681"	120	126	3.5
"691"	114	112	4
"701"	116	108	3.5
"711"	115	116	4.5
"721"	118	107	2
"731"	123	119	3.5
"741"	113	116	4
"751"	114	110	5.5
"761"	111	109	2
"771"	118	116	4
"781"	116	110	3.5
"791"	111	113	4.5
"801"	120	120	3.5
"811"	127	126	4.5
"821"	118	107	4
"831"	105	108	2.5
"841"	117	119	4.5
"851"	111	113	2
"861"	118	112	4.5
"871"	120	119	3.5
"881"	124	121	4
"891"	105	113	3.5
"901"	110	120	3.5
"911"	117	122	2.5
"921"	117	120	2.5
"931"	121	116	3.5
"941"	115	115	2.5
"951"	107	114	4.5
"961"	110	115	3.5
"971"	117	115	2
"981"	109	113	3.5
"991"	117	114	5
"1001"	112	110	3
"1011"	118	118	3.5
"1021"	112	115	5.5
"1031"	110	109	4.5
"1041"	114	121	4.5
"1051"	120	120	3.5
"1061"	121	117	4
"1071"	122	109	3.5
"1081"	116	116	2.5
"1091"	126	121	4
"1101"	120	119	1.5
"1111"	113	113	4
"1121"	104	120	3.5
"1131"	111	106	3.5
"1141"	119	111	3.5
"1151"	120	119	3
"1161"	106	117	1.5
"1171"	123	113	2
"1181"	117	118	3
"1191"	115	119	4.5
"1201"	115	108	2.5
"1211"	119	117	3
"1221"	117	121	4
"1231"	119	120	4
"1241"	105	103	4
"1251"	115	118	4
"1261"	118	116	5
"1271"	117	117	4.5
"1281"	113	113	5.5
"1291"	118	119	4
"1301"	110	116	1
"1311"	115	113	4.5
"1321"	121	117	4.5
"1331"	116	117	4.5
"1341"	109	107	4
"1351"	119	119	3
"1361"	105	105	2.5
"1371"	117	115	6
"1381"	111	108	3
"1391"	115	113	4
"1401"	118	111	2
"1411"	118	114	2
"1421"	105	109	4
"1431"	100	112	3
"1441"	115	111	4
"1451"	115	110	2
"1461"	110	111	4
"1471"	119	110	2.5
"1481"	121	112	5
"1491"	121	116	3.5
"1501"	114	119	2.5
"1511"	110	118	3.5
"1521"	115	114	4
"1531"	113	110	3
"1541"	117	112	2.5
"1551"	118	115	3
"1561"	127	129	2
"1571"	115	116	5
"1581"	119	112	3
"1591"	117	117	3
"1601"	117	118	4
"1611"	112	109	5
"1621"	111	122	3
"1631"	125	121	4
"1641"	116	116	4
"1651"	111	121	2
"1661"	120	119	3.5
"1671"	108	113	4
"1681"	115	118	4.5
"1691"	121	126	3.5
"1701"	113	117	2
"1711"	113	120	1.5
"1721"	115	119	3
"1731"	107	111	5
"1741"	115	118	3
"1751"	118	113	3
"1761"	126	125	1.5
"1771"	109	112	4.5
"1781"	118	115	2.5
"1791"	111	112	3
"1801"	115	112	3
"1811"	118	115	4
"1821"	111	124	5
"1831"	124	119	4
"1841"	111	108	4
"1851"	123	113	2
"1861"	114	111	3
"1871"	107	113	6.5
"1881"	117	116	4.5
"1891"	112	118	5
"1901"	113	105	3
"1911"	115	119	3.5
"1921"	124	120	6
"1931"	109	113	5
"1941"	125	117	3
"1951"	120	121	4
"1961"	113	114	4.5
"1971"	116	116	4
"1981"	106	112	3.5
"1991"	122	121	2.5
"2001"	113	118	4.5
"2011"	113	119	2.5
"2021"	106	118	1.5
"2031"	106	109	2
"2041"	115	118	5
"2051"	130	113	3.5
"2061"	122	119	3
"2071"	124	113	2
"2081"	127	126	5
"2091"	118	123	6
"2101"	111	111	4
"2111"	113	110	3.5
"2121"	106	105	4.5
"2131"	115	113	2
"2141"	105	110	2.5
"2151"	115	115	2
"2161"	110	112	3.5
"2171"	115	117	5
"2181"	121	116	2
"2191"	114	114	3
"2201"	117	117	3
"2211"	116	119	4
"2221"	115	112	2.5
"2231"	124	119	5.5
"2241"	116	116	3.5
"2251"	121	113	2
"2261"	109	113	5
"2271"	114	117	2.5
"2281"	113	117	5
"2291"	114	113	3
"2301"	109	117	5
"2311"	110	110	5
"2321"	111	118	4.5
"2331"	124	119	2.5
"2341"	113	117	3.5
"2351"	108	112	4.5
"2361"	115	123	3.5
"2371"	109	119	2.5
"2381"	114	113	5.5
"2391"	111	111	4
"2401"	110	114	3.5
"2411"	108	112	3.5
"2421"	112	107	3.5
"2431"	122	127	3
"2441"	114	117	3.5
"2451"	118	122	2.5
"2461"	118	115	4.5
"2471"	112	107	4
"2481"	125	120	2.5
"2491"	117	118	2.5
"2501"	116	115	3
"2511"	119	110	5.5
"2521"	104	116	5.5
"2531"	111	107	3.5
"2541"	110	109	3.5
"2551"	118	117	3.5
"2561"	109	114	4.5
"2571"	120	117	3
"2581"	128	126	4.5
"2591"	115	112	3
"2601"	124	119	3.5
"2611"	127	127	4
"2621"	109	113	3.5
"2631"	106	109	1
"2641"	115	110	1
"2651"	104	113	4.5
"2661"	117	118	2.5
"2671"	106	117	3.5
"2681"	116	114	3
"2691"	107	115	2.5
"2701"	114	116	4.5
"2711"	114	110	3.5
"2721"	114	110	3
"2731"	112	115	7
"2741"	109	115	3.5
"2751"	108	114	4.5
"2761"	117	105	3
"2771"	117	115	2.5
"2781"	112	114	3.5
"2791"	112	116	3
"2801"	106	113	4
"2811"	113	120	2.5
"2821"	114	114	3
"2831"	113	117	5.5
"2841"	119	125	5.5
"2851"	122	106	1.5
"2861"	119	110	4.5
"2871"	124	121	4.5
"2881"	114	118	4.5
"2891"	115	128	2.5
"2901"	107	114	2.5
"2911"	118	117	5.5
"2921"	115	108	4.5
"2931"	113	120	3.5
"2941"	118	116	4.5
"2951"	122	120	3.5
"2961"	119	125	1.5
"2971"	107	108	5
"2981"	116	115	3.5
"2991"	115	117	3
"3001"	116	116	2.5
"3011"	113	114	4
"3021"	114	112	3
"3031"	115	112	4.5
"3041"	129	111	2
"3051"	119	118	4
"3061"	113	115	5.5
"3071"	115	119	4.5
"3081"	124	109	2
"3091"	116	111	4
"3101"	106	110	3.5
"3111"	117	124	4
"3121"	114	106	3.5
"3131"	108	111	2.5
"3141"	102	112	4
"3151"	115	112	4
"3161"	112	125	4.5
"3171"	114	119	5
"3181"	117	113	3
"3191"	121	116	2.5
"3201"	109	111	4.5
"3211"	108	117	4
"3221"	116	118	3
"3231"	114	114	2.5
"3241"	114	116	4
"3251"	107	122	4
"3261"	115	110	3.5
"3271"	105	114	3
"3281"	129	121	4.5
"3291"	113	106	4.5
"3301"	113	115	2.5
"3311"	126	123	5
"3321"	114	113	3.5
"3331"	125	114	2.5
"3341"	115	114	4.5
"3351"	113	115	2.5
"3361"	115	111	4
"3371"	110	118	3.5
"3381"	113	113	4
"3391"	129	119	3
"3401"	112	112	2.5
"3411"	112	109	2.5
"3421"	113	108	3
"3431"	110	110	2
"3441"	115	111	3
"3451"	110	104	3
"3461"	113	113	3
"3471"	120	126	2.5
"3481"	112	111	2
"3491"	114	116	2.5
"3501"	120	113	3
"3511"	114	113	3.5
"3521"	114	110	3.5
"3531"	103	111	4
"3541"	120	119	3
"3551"	116	113	3
"3561"	117	118	3.5
"3571"	115	114	3.5
"3581"	112	113	5
"3591"	115	116	2
"3601"	112	120	2.5
"3611"	112	105	4
"3621"	117	117	4.5
"3631"	122	115	2.5
"3641"	111	107	3.5
"3651"	118	115	3
"3661"	113	120	5
"3671"	111	108	3
"3681"	114	123	5.5
"3691"	118	108	3.5
"3701"	119	120	4
"3711"	114	119	3
"3721"	114	124	3
"3731"	110	115	3.5
"3741"	120	110	2
"3751"	130	116	1
"3761"	118	113	4.5
"3771"	109	111	3
"3781"	115	110	4
"3791"	114	116	2
"3801"	111	119	3
"3811"	118	119	5.5
"3821"	121	119	3
"3831"	110	106	4.5
"3841"	120	114	3.5
"3851"	118	113	3.5
"3861"	112	118	5
"3871"	116	118	3
"3881"	115	112	3.5
"3891"	111	110	4.5
"3901"	111	113	5
"3911"	120	117	4
"3921"	115	124	3.5
"3931"	113	102	4
"3941"	116	116	4.5
"3951"	119	116	3
"3961"	113	116	3
"3971"	115	118	3.5
"3981"	107	109	3.5
"3991"	106	110	4.5
"4001"	117	122	1.5
